,Unnamed: 0,noun,comments,rated_indiv,date_post,reviewer,number_of_reveiws,loc_reviewer,restaurant_name,review_translated,review_full,tokenized_text,adjectives,value,Sentiment_adj1_pos,Sentiment_adj1_neutral,Sentiment_adj1_neg,Bigram,Sentiment_bigram_pos,Sentiment_bigram_neutral,Sentiment_bigram_neg,Sentiment_text_pos,Sentiment_text_neutral,Sentiment_text_neg,noun_grouped
32357,32357,hospitality,"Excellent quality cuisine and very friendly staff, very attentive and helpful. We have a very enjoyable evening with our guests from Europe. They like Arminian cuisine and hospitality. Thank you ""Lavash"" !!!!",50,"April 26, 2017",['Narek P'],['2'],[],Lavash,"Excellent quality cuisine and very friendly staff, very attentive and helpful. We have a very enjoyable evening with our guests from Europe. They like Arminian cuisine and hospitality. Thank you ""Lavash"" !!!!","excellent quality cuisine and very friendly staff, very attentive and helpful. we have a very enjoyable evening with our guests from europe. they like arminian cuisine and hospitality. thank you ""lavash"" !!!!",they like arminian cuisine and hospitality.,adjective_1,,0.0,1.0,0.0,NA hospitality,0.0,1.0,0.0,0.333,0.667,0.0,hospitality
171669,171669,thanks,"Все было восхитительно! Вкусная еда, место, интерьер интересный, нечего и добавить. Всем рекомендую. Особенно благодарим Арама, сделал наш первый вечер в Ереване.",50,"September 8, 2022",['Мария У'],['2'],[],Tumanyan Khinkali,"Everything was amazing! Delicious food, place, interesting interior, nothing to add. I recommend to everyone. Special thanks to Aram, made our first evening in Yerevan.","everything was amazing! delicious food, place, interesting interior, nothing to add. i recommend to everyone. special thanks to aram, made our first evening in yerevan.","special thanks to aram, made our first evening in yerevan.",adjective_3,,0.0,1.0,0.0,NA thanks,0.744,0.256,0.0,0.412,0.588,0.0,thanks
53957,53957,9th,"Были в заведении 9го марта. Отличные хинкали. Вкусный свекольник. Понравилась домашняя настойка. 
Отбслуживание и интерьер приятные!",50,"March 9, 2018",['Alexander B'],['2 reviews'],[],Tumanyan Khinkali,"We were there on March 9th. Excellent khinkali. Delicious beetroot. Liked the homemade tincture.
Nice service and interior!",we were there on march 9th. excellent khinkali. delicious beetroot. liked the homemade tincture. nice service and interior!,we were there on march 9th.,adjective_1,,0.0,1.0,0.0,NA 9th,0.0,1.0,0.0,0.0,1.0,0.0,9th
175151,175151,rating,"Ужинали здесь семьёй. Чудесное место, уютное, с интересным интерьером! Заказывали, конечно, хинкали. Они вкуснейшие: и жареные, и традиционные! Салат Цезарь, салат с баклажанами и грецкими орехами тоже заслуживают высочайшие оценки. Единственное, на что мы не расчитывали - размер порций значительно больше возможностей, по крайней мере наших)))) ",50,"January 30, 2022",['Connector05668496538'],['1'],[],Tumanyan Khinkali,"Dined here with family. Wonderful place, cozy, with an interesting interior! We ordered khinkali, of course. They are delicious: both fried and traditional! Caesar salad, salad with eggplant and walnuts also deserve the highest rating. The only thing we did not count on is that the portion size is much larger than the possibilities, at least ours))))","dined here with family. wonderful place, cozy, with an interesting interior! we ordered khinkali, of course. they are delicious: both fried and traditional! caesar salad, salad with eggplant and walnuts also deserve the highest rating. the only thing we did not count on is that the portion size is much larger than the possibilities, at least ours))))","caesar salad, salad with eggplant and walnuts also deserve the highest rating.",adjective_3,,0.0,1.0,0.0,NA rating,0.0,1.0,0.0,0.0,1.0,0.0,rating
175056,175056,khinkali,"Когда мы спросили у местных, где поесть хинкали, нам сказали что в Туманян Хинкали даже грузины приезжают есть хинкали))) Место прелестное! Интерьер очень классный, даже лампочки в виде хинкали. Очень приветливый персонал. Ждали совсем не долго, хинкали действительно очень вкусные. Уютно, вкусно, недорого. ",50,"February 8, 2022",['U8410DT_'],"['2', '2']",[],Tumanyan Khinkali,"When we asked the locals where to eat khinkali, we were told that even Georgians come to Tumanyan Khinkali to eat khinkali))) The place is lovely! The interior is very cool, even the bulbs in the form of khinkali. Very friendly staff. The wait was not long at all, the khinkali are really very tasty. Cozy, tasty, inexpensive.","when we asked the locals where to eat khinkali, we were told that even georgians come to tumanyan khinkali to eat khinkali))) the place is lovely! the interior is very cool, even the bulbs in the form of khinkali. very friendly staff. the wait was not long at all, the khinkali are really very tasty. cozy, tasty, inexpensive.","the wait was not long at all, the khinkali are really very tasty.",adjective_3,,0.0,1.0,0.0,NA khinkali,0.0,1.0,0.0,0.0,1.0,0.0,khinkali
107439,107439,n,We had a very good lunch here. Especially we are assisted and advised by Aram. Excellent service and gave very good recommendations. The food are perfect and have big portions. Thank you!,50,"December 7, 2021",['JoyRel'],['2 reviews'],[],Tumanyan Khinkali,We had a very good lunch here. Especially we are assisted and advised by Aram. Excellent service and gave very good recommendations. The food are perfect and have big portions. Thank you!,we had a very good lunch here. especially we are assisted and advised by aram. excellent service and gave very good recommendations. the food are perfect and have big portions. thank you!,especially we are assisted and advised by aram.,adjective_2,,0.0,1.0,0.0,NA N,0.0,1.0,0.0,0.0,1.0,0.0,n
45074,45074,dinner,Late dinner here with party of 7. This was my first meal in Armenia.,50,"October 11, 2019",['qaxalot'],"['135', '65']",['San Francisco Bay Area'],Tumanyan Khinkali,Late dinner here with party of 7. This was my first meal in Armenia.,late dinner here with party of 7. this was my first meal in armenia.,late dinner here with party of 7. this was my first meal in armenia.,adjective_1,late,0.0,1.0,0.0,late dinner,0.0,1.0,0.0,0.172,0.828,0.0,dinner
56760,56760,top,"I want to highly recommend this place. Quality on top, the warmest atmosphere,,staff is very friendly and professional, thanks for amazing service. You made my day❤️❤️🌟",50,"February 12, 2023",['lusinemkrt'],['1 review'],[],Corpous Gastrobar Restaurant,"I want to highly recommend this place. Quality on top, the warmest atmosphere,,staff is very friendly and professional, thanks for amazing service. You made my day❤️❤️🌟","i want to highly recommend this place. quality on top, the warmest atmosphere,,staff is very friendly and professional, thanks for amazing service. you made my day❤️❤️🌟","quality on top, the warmest atmosphere,,staff is very friendly and professional, thanks for amazing service.",adjective_1,,0.0,1.0,0.0,NA top,0.643,0.357,0.0,0.595,0.405,0.0,top
184892,184892,n,If you’re looking for good khinkali you’re in the right place. Service is good as well. Definitely a place to visit une you’re in Yerevan,40,"May 19, 2019",['Levon G'],['5 reviews'],[],Tumanyan Khinkali,If you’re looking for good khinkali you’re in the right place. Service is good as well. Definitely a place to visit une you’re in Yerevan,if you’re looking for good khinkali you’re in the right place. service is good as well. definitely a place to visit une you’re in yerevan,definitely a place to visit une you’re in yerevan,adjective_3,,0.0,1.0,0.0,NA N,0.0,1.0,0.0,0.278,0.722,0.0,n
62662,62662,family,"Great place to spend your spare time with friends and family. Best service from managers and special attention is given by the waiters to the customers. Food is absolutely DELICIOUS!!!Thank you,Limone is our favorite place from now on😍",50,"July 12, 2018",['Lily A'],['1 review'],[],Limone Cascade,"Great place to spend your spare time with friends and family. Best service from managers and special attention is given by the waiters to the customers. Food is absolutely DELICIOUS!!!Thank you,Limone is our favorite place from now on😍","great place to spend your spare time with friends and family. best service from managers and special attention is given by the waiters to the customers. food is absolutely delicious!!!thank you,limone is our favorite place from now on😍",great place to spend your spare time with friends and family.,adjective_1,,0.0,1.0,0.0,NA family,0.0,1.0,0.0,0.444,0.556,0.0,family
101052,101052,time,"Rob spartak Aram 

The foods are served on time, of course, always with wine. Highly recommended for everyone.",50,"February 3, 2023",['valpierrejrc'],['1 review'],[],Tumanyan Khinkali,"Rob spartak Aram 

The foods are served on time, of course, always with wine. Highly recommended for everyone.","rob spartak aram the foods are served on time, of course, always with wine. highly recommended for everyone.","rob spartak aram the foods are served on time, of course, always with wine.",adjective_2,,0.0,1.0,0.0,NA time,0.0,1.0,0.0,0.0,0.783,0.217,time
15720,15720,restaurant,"Этот ресторан висит в топе, и не зря. Сначала сомневались туда идти, слишком расхваленный, но это действительно вкусный, но приэтом...",50,"March 25, 2019",['Юлия Я'],['15 reviews'],[],Lavash,"This restaurant is at the top, and for good reason. At first they hesitated to go there, too touted, but it's really tasty, but at the same time...","this restaurant is at the top, and for good reason. at first they hesitated to go there, too touted, but it's really tasty, but at the same time...","this restaurant is at the top, and for good reason.",adjective_1,,0.0,1.0,0.0,NA restaurant,0.0,1.0,0.0,0.37,0.63,0.0,food
161301,161301,cuisine,we came spontaneously at weekend rush hours without booking ahead and asked for a dinner. We explained that came specially for delicious national cuisine and despite full booking and absence of tables were asked to wait for a while. In 10-15 min the team found us not just a corner - they invited us to the upper floor and organized perfect table for two.,50,"April 20, 2018",['armasa2018'],"['2', '1']","['Tel Aviv, Israel']",Lavash,we came spontaneously at weekend rush hours without booking ahead and asked for a dinner. We explained that came specially for delicious national cuisine and despite full booking and absence of tables were asked to wait for a while. In 10-15 min the team found us not just a corner - they invited us to the upper floor and organized perfect table for two.,we came spontaneously at weekend rush hours without booking ahead and asked for a dinner. we explained that came specially for delicious national cuisine and despite full booking and absence of tables were asked to wait for a while. in 10-15 min the team found us not just a corner - they invited us to the upper floor and organized perfect table for two.,we explained that came specially for delicious national cuisine and despite full booking and absence of tables were asked to wait for a while.,adjective_3,,0.0,1.0,0.0,NA cuisine,0.0,1.0,0.0,0.144,0.856,0.0,cuisine
15692,15692,service,"Приятная атмосфера, вежливое обслуживание, вкусная и разнообразная еда в центре города. Заказ долго ждать не приходилось",50,"March 26, 2019",['T7011ZW_'],['3 reviews'],[],Lavash,"Nice atmosphere, friendly service, delicious and varied food in the city center. Didn't have to wait long for the order.","nice atmosphere, friendly service, delicious and varied food in the city center. didn't have to wait long for the order.","nice atmosphere, friendly service, delicious and varied food in the city center.",adjective_1,friendly,1.0,0.0,0.0,friendly service,0.762,0.238,0.0,0.519,0.481,0.0,staff
201961,201961,time,"It is a third time I visit Syrovarnya. It is not an accidental visit because I have set my heart on this place. Cozy atmosphere, delicious food and perfect service are key factors of this restaurant. Everything is so delicious starting from pastas, pizzas ending with sweets and cocktail. Great job dears",50,"June 4, 2022",['662araks'],['1'],[],Syrovarnya Yerevan,"It is a third time I visit Syrovarnya. It is not an accidental visit because I have set my heart on this place. Cozy atmosphere, delicious food and perfect service are key factors of this restaurant. Everything is so delicious starting from pastas, pizzas ending with sweets and cocktail. Great job dears","it is a third time i visit syrovarnya. it is not an accidental visit because i have set my heart on this place. cozy atmosphere, delicious food and perfect service are key factors of this restaurant. everything is so delicious starting from pastas, pizzas ending with sweets and cocktail. great job dears",it is a third time i visit syrovarnya.,adjective_3,,0.0,1.0,0.0,NA time,0.0,1.0,0.0,0.0,1.0,0.0,time
153943,153943,interior,"В первый день пребывания в Ереване, пошли гулять по городу и местный гид посоветовал нам ресторан Лаваш, как ресторан национальной кухни. Интерьер ресторана и обслуживание нам очень понравилось. Весьма колоритно, но в то же время изыскано и не награмождено. Что же касается еды, то здесь мнение неоднозначное, супы были вкусные, зелень и сыр ничем не испортишь, а вот от фирменного блюда (лопатка барашка) ожидала большего. Десерты тоже очень вкусные. Мильфей самый замечательный из всех, что когда-нибудь ела. Если вы туристы, то алкоголь вам втюхают подороже. И обратите внимание, в чек сразу входит процент за обслуживание. В целом приятное посещение.",40,"January 6, 2019",['rolage70'],"['25', '9']","['Ufa, Russia']",Lavash,"On the first day of our stay in Yerevan, we went for a walk around the city and the local guide advised us the Lavash restaurant as a restaurant of national cuisine. We really liked the interior of the restaurant and the service. Very colorful, but at the same time refined and not heaped. As for food, here the opinion is ambiguous, the soups were delicious, you can’t spoil the greens and cheese, but I expected more from the specialty (lamb shoulder). Desserts are also very tasty. Millefeuille is the most wonderful thing I've ever eaten. If you are tourists, then alcohol will be more expensive for you. And pay attention, the check immediately includes a percentage for the service. Overall a pleasant visit.","on the first day of our stay in yerevan, we went for a walk around the city and the local guide advised us the lavash restaurant as a restaurant of national cuisine. we really liked the interior of the restaurant and the service. very colorful, but at the same time refined and not heaped. as for food, here the opinion is ambiguous, the soups were delicious, you can’t spoil the greens and cheese, but i expected more from the specialty (lamb shoulder). desserts are also very tasty. millefeuille is the most wonderful thing i've ever eaten. if you are tourists, then alcohol will be more expensive for you. and pay attention, the check immediately includes a percentage for the service. overall a pleasant visit.",we really liked the interior of the restaurant and the service.,adjective_3,,0.0,1.0,0.0,NA interior,0.0,1.0,0.0,0.236,0.764,0.0,interior
122629,122629,city,"Хинкали божественны, по другому не скажешь. Ещё были жаренные, но мы брали классические. Цена выше, чем например в Кавказкой пленнице ( там тоже были супер). Обслуживание честно неспешное, но и не стоит торопится ( в целом в городе везде так, люди чувствуют вкус жизни, смакуют ее, а не бегают как подстреленные ) . Готовятся хинкали тоже давольно долго, не менее 40 минут, так что для быстрого перекуса не сюда. Часто проходили мимо, свободные места в этом заведении редкость, очень популярное место у местных и туристов и на самом деле того стоит. ",50,"May 15, 2017",['Adventure640794'],"['49', '15']","['Moscow, Russia']",Tumanyan Khinkali,"Khinkali are divine, you can’t say otherwise. There were also fried ones, but we took the classic ones. The price is higher than, for example, in the Caucasian captive (there were also super). The service is honestly unhurried, but you shouldn't be in a hurry (in general, everywhere in the city it's like that, people feel the taste of life, savor it, and don't run around like they were shot). Khinkali is also prepared for quite a long time, at least 40 minutes, so it’s not here for a quick snack. Often passed by, empty seats in this institution are rare, a very popular place with locals and tourists and really worth it.","khinkali are divine, you can’t say otherwise. there were also fried ones, but we took the classic ones. the price is higher than, for example, in the caucasian captive (there were also super). the service is honestly unhurried, but you shouldn't be in a hurry (in general, everywhere in the city it's like that, people feel the taste of life, savor it, and don't run around like they were shot). khinkali is also prepared for quite a long time, at least 40 minutes, so it’s not here for a quick snack. often passed by, empty seats in this institution are rare, a very popular place with locals and tourists and really worth it.","the service is honestly unhurried, but you shouldn't be in a hurry (in general, everywhere in the city it's like that, people feel the taste of life, savor it, and don't run around like they were shot).",adjective_2,,0.0,1.0,0.0,NA city,0.0,1.0,0.0,0.205,0.795,0.0,city
32131,32131,experience,"Went with a group of 5 for lunch and it was a very good experience. The Lavash was very fresh and made on site, the vegetables were very fresh and all the selections were extremely delicious. Excellent staff took care of us very well.",40,"April 26, 2017",['szobell'],['210 reviews'],[],Lavash,"Went with a group of 5 for lunch and it was a very good experience. The Lavash was very fresh and made on site, the vegetables were very fresh and all the selections were extremely delicious. Excellent staff took care of us very well.","went with a group of 5 for lunch and it was a very good experience. the lavash was very fresh and made on site, the vegetables were very fresh and all the selections were extremely delicious. excellent staff took care of us very well.",went with a group of 5 for lunch and it was a very good experience.,adjective_1,good,1.0,0.0,0.0,good experience,0.744,0.256,0.0,0.225,0.775,0.0,experience
20197,20197,staff,"Friendly staff, everything on the menu was actually very good, the pork and the lamb bbq was very good and well priced.",50,"September 23, 2018",['arthurl153'],['7 reviews'],[],Lavash,"Friendly staff, everything on the menu was actually very good, the pork and the lamb bbq was very good and well priced.","friendly staff, everything on the menu was actually very good, the pork and the lamb bbq was very good and well priced.","friendly staff, everything on the menu was actually very good, the pork and the lamb bbq was very good and well priced.",adjective_1,friendly,1.0,0.0,0.0,friendly staff,0.762,0.238,0.0,0.399,0.601,0.0,staff
119361,119361,khinkali,"Начну свой отзыв с того, чтобы попасть в это место нужно зарезервировать место, прийти с улицы и сесть, большая редкость. Итак, в ресторане есть открытая веранда на 10-12 столиков, и основной закрытый ресторан (огромный) в него пройти буквально 20 метров по улице (там стоит памятник хинкали). В основном кушают местные, и все они в диком восторге. Итак, ради чего мы пришли - покушать хинкали (мы бывалые путешественники, и мы знаем толк в Хинкали), принесли хинкали, мало мясо! Сок вытек, и многие их них уже переварили. Жареные - вкусные. Скажу так, в Москве, около метро Добрынинская, есть очень простая хинкальная, где они стоят столько же(45 рублей за штуку), но в разы!!! вкуснее!!! Итог: 1 литр домашнего гипнологом вина, 10 хинкали с мясном варёные, 7 с мясом жареные, маринованный перец, ассорти из сыров, хлеб, и баклажаны с орехами, итого на 3-х - 20000 драм, в счёт включают сразу 10% чаевых (имейте ввиду). ",40,"November 2, 2018",['_L5920FY'],"['21', '13']","['Moscow, Russia']",Tumanyan Khinkali,"I'll start my review with the fact that to get to this place you need to reserve a place, come from the street and sit down, a rarity. So, the restaurant has an open veranda for 10-12 tables, and the main indoor restaurant (huge) is literally 20 meters down the street (there is a monument to khinkali). Mostly locals eat, and they are all wildly delighted. So, for what we came - to eat khinkali (we are experienced travelers, and we know a lot about khinkali), they brought khinkali, little meat! The juice has flowed out, and many of them have already been digested. Fried - delicious. I will say this, in Moscow, near the Dobryninskaya metro station, there is a very simple khinkalnaya where they cost the same (45 rubles apiece), but at times!!! tastier!!! Bottom line: 1 liter of homemade wine by a hypnologist, 10 khinkali with boiled meat, 7 khinkali with fried meat, pickled peppers, assorted cheeses, bread, and eggplants with nuts, total for 3 - 20,000 drams, 10% tip is immediately included in the bill ( keep in mind).","i'll start my review with the fact that to get to this place you need to reserve a place, come from the street and sit down, a rarity. so, the restaurant has an open veranda for 10-12 tables, and the main indoor restaurant (huge) is literally 20 meters down the street (there is a monument to khinkali). mostly locals eat, and they are all wildly delighted. so, for what we came - to eat khinkali (we are experienced travelers, and we know a lot about khinkali), they brought khinkali, little meat! the juice has flowed out, and many of them have already been digested. fried - delicious. i will say this, in moscow, near the dobryninskaya metro station, there is a very simple khinkalnaya where they cost the same (45 rubles apiece), but at times!!! tastier!!! bottom line: 1 liter of homemade wine by a hypnologist, 10 khinkali with boiled meat, 7 khinkali with fried meat, pickled peppers, assorted cheeses, bread, and eggplants with nuts, total for 3 - 20,000 drams, 10% tip is immediately included in the bill ( keep in mind).","bottom line: 1 liter of homemade wine by a hypnologist, 10 khinkali with boiled meat, 7 khinkali with fried meat, pickled peppers, assorted cheeses, bread, and eggplants with nuts, total for 3 - 20,000 drams, 10% tip is immediately included in the bill ( keep in mind).",adjective_2,,0.0,1.0,0.0,NA khinkali,0.0,1.0,0.0,0.0,0.946,0.054,khinkali
46343,46343,evening,Очень атмосферное заведение. Безумно вкусная кухня. Много угощений от заведений. Лучший официант Арман просто сделал этот вечер незабываемым!!!,50,"August 13, 2019",['Владимир З'],['2'],[],Tumanyan Khinkali,A very atmospheric establishment. Insanely delicious cuisine. Many treats from establishments. The best waiter Arman just made this evening unforgettable!!!,a very atmospheric establishment. insanely delicious cuisine. many treats from establishments. the best waiter arman just made this evening unforgettable!!!,the best waiter arman just made this evening unforgettable!!,adjective_1,,0.0,1.0,0.0,NA evening,0.0,1.0,0.0,0.374,0.626,0.0,evening
166029,166029,restaurant,"For me this restaurant serves the best BBQ in the city,i love pork and beef very tasty...and they selling natural products from farm,always fresh and tasty.thanks to friendly stuff,recommended to everybody visit this restaurant",50,"October 4, 2017",['Dave777666555'],['5 reviews'],[],Lavash,"For me this restaurant serves the best BBQ in the city,i love pork and beef very tasty...and they selling natural products from farm,always fresh and tasty.thanks to friendly stuff,recommended to everybody visit this restaurant","for me this restaurant serves the best bbq in the city,i love pork and beef very tasty...and they selling natural products from farm,always fresh and tasty.thanks to friendly stuff,recommended to everybody visit this restaurant","for me this restaurant serves the best bbq in the city,i love pork and beef very tasty...and they selling natural products from farm,always fresh and tasty.thanks to friendly stuff,recommended to everybody visit this restaurant",adjective_3,,0.0,1.0,0.0,NA restaurant,0.0,1.0,0.0,0.361,0.639,0.0,food
